epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.22673,2.72722,0.075,0.475,2.68974,4.375e-05,4.375e-05,4.375e-05
2,11.3569,2.41657,0.3375,0.8375,1.8579,9.18937e-05,9.18937e-05,9.18937e-05
3,16.4779,1.82423,0.725,0.875,1.22603,0.000138058,0.000138058,0.000138058
4,21.5859,1.37048,0.7375,0.9125,0.88557,0.000182241,0.000182241,0.000182241
5,26.7165,1.08506,0.7625,0.95,0.63372,0.000224445,0.000224445,0.000224445
6,31.8605,0.85148,0.8,0.95,0.72684,0.000264669,0.000264669,0.000264669
7,36.9764,0.71022,0.7875,0.95,0.66916,0.000302913,0.000302913,0.000302913
8,42.0853,0.58417,0.8,0.9625,0.61301,0.000339176,0.000339176,0.000339176
9,47.2124,0.57964,0.8125,0.9625,0.54538,0.00037346,0.00037346,0.00037346
10,52.3261,0.47412,0.85,0.975,0.40692,0.000405764,0.000405764,0.000405764
11,57.4454,0.37025,0.8375,1,0.35751,0.000436088,0.000436088,0.000436088
12,62.6641,0.31897,0.875,0.9875,0.2943,0.000464431,0.000464431,0.000464431
13,67.8024,0.26808,0.9125,0.975,0.59859,0.0004765,0.0004765,0.0004765
14,72.9233,0.26193,0.875,0.975,0.3572,0.000464125,0.000464125,0.000464125
15,78.0901,0.19982,0.8875,1,0.2643,0.00045175,0.00045175,0.00045175
16,83.2215,0.26228,0.8875,1,0.38144,0.000439375,0.000439375,0.000439375
17,88.3655,0.21799,0.875,1,0.39929,0.000427,0.000427,0.000427
18,93.501,0.22122,0.8875,1,0.38313,0.000414625,0.000414625,0.000414625
19,98.6397,0.17227,0.925,1,0.29915,0.00040225,0.00040225,0.00040225
20,103.75,0.25446,0.8875,1,0.59646,0.000389875,0.000389875,0.000389875
21,108.911,0.16237,0.925,1,0.23791,0.0003775,0.0003775,0.0003775
22,114.027,0.12235,0.9125,1,0.29916,0.000365125,0.000365125,0.000365125
23,119.173,0.13215,0.95,1,0.32065,0.00035275,0.00035275,0.00035275
24,124.315,0.15933,0.925,0.975,0.2224,0.000340375,0.000340375,0.000340375
25,129.447,0.10696,0.9375,0.975,0.20592,0.000328,0.000328,0.000328
26,134.574,0.11546,0.925,0.975,0.34035,0.000315625,0.000315625,0.000315625
27,139.727,0.13922,0.9125,0.975,0.34931,0.00030325,0.00030325,0.00030325
28,144.841,0.15334,0.875,0.975,0.30989,0.000290875,0.000290875,0.000290875
29,149.974,0.09651,0.875,0.975,0.34874,0.0002785,0.0002785,0.0002785
30,155.122,0.09149,0.9,0.975,0.30468,0.000266125,0.000266125,0.000266125
31,160.242,0.08239,0.9125,0.975,0.31751,0.00025375,0.00025375,0.00025375
32,165.39,0.05241,0.9125,0.975,0.68805,0.000241375,0.000241375,0.000241375
33,170.538,0.06253,0.9375,0.975,0.29332,0.000229,0.000229,0.000229
34,175.665,0.07629,0.9375,0.975,0.36396,0.000216625,0.000216625,0.000216625
35,180.819,0.05084,0.9375,0.975,0.26685,0.00020425,0.00020425,0.00020425
36,185.986,0.05191,0.9375,0.975,0.3661,0.000191875,0.000191875,0.000191875
37,191.203,0.04943,0.9375,0.975,0.32758,0.0001795,0.0001795,0.0001795
38,196.47,0.08772,0.925,0.975,0.4887,0.000167125,0.000167125,0.000167125
39,201.647,0.0333,0.9375,0.975,0.58964,0.00015475,0.00015475,0.00015475
40,206.889,0.06382,0.925,0.975,0.26561,0.000142375,0.000142375,0.000142375
41,212.09,0.05701,0.925,0.975,0.27099,0.00013,0.00013,0.00013
42,217.332,0.05717,0.9375,0.975,0.55939,0.000117625,0.000117625,0.000117625
43,222.561,0.04731,0.9375,0.975,0.27563,0.00010525,0.00010525,0.00010525
44,227.838,0.04567,0.9375,0.975,0.4338,9.2875e-05,9.2875e-05,9.2875e-05
45,232.941,0.04331,0.9375,0.975,0.67729,8.05e-05,8.05e-05,8.05e-05
46,238.167,0.04967,0.9375,0.975,0.55921,6.8125e-05,6.8125e-05,6.8125e-05
47,243.311,0.08712,0.9375,0.975,0.27629,5.575e-05,5.575e-05,5.575e-05
48,248.449,0.02804,0.9375,0.975,0.27142,4.3375e-05,4.3375e-05,4.3375e-05
49,253.594,0.0378,0.9375,0.975,0.42569,3.1e-05,3.1e-05,3.1e-05
50,258.736,0.04056,0.9375,0.975,0.37346,1.8625e-05,1.8625e-05,1.8625e-05
