epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,262.46,1.59787,0.65875,0.00224,0.96157,0.85855,0.89596,0.58892,1.38961,0.66372,0.00296,0.0015941,0.0015941,0.0015941
43,269.696,1.5457,0.66005,0.00242,0.95474,0.86513,0.90704,0.57758,1.39945,0.56277,0.00301,0.0015842,0.0015842,0.0015842
44,275.524,1.58359,0.6942,0.00243,0.93999,0.78618,0.87807,0.52874,1.54411,0.88805,0.00341,0.0015743,0.0015743,0.0015743
45,282.888,1.53745,0.71301,0.00245,0.97334,0.8407,0.90518,0.53767,1.50882,0.63775,0.00316,0.0015644,0.0015644,0.0015644
46,288.732,1.51161,0.61577,0.00227,0.95322,0.84211,0.90187,0.48151,1.86827,0.68108,0.0042,0.0015545,0.0015545,0.0015545
47,294.494,1.56687,0.66392,0.00236,0.97741,0.85405,0.91529,0.57105,1.4669,0.57731,0.00313,0.0015446,0.0015446,0.0015446
48,300.285,1.51484,0.61572,0.00229,0.92806,0.875,0.90828,0.58832,1.42896,0.64418,0.00294,0.0015347,0.0015347,0.0015347
49,306.164,1.5652,0.62955,0.00232,0.97738,0.85293,0.91312,0.59794,1.38906,0.6138,0.00295,0.0015248,0.0015248,0.0015248
50,313.65,1.53386,0.62727,0.00229,0.95701,0.86513,0.90739,0.598,1.4284,0.62955,0.00303,0.0015149,0.0015149,0.0015149
51,319.639,1.53859,0.66158,0.00229,0.98052,0.83553,0.90027,0.51375,1.72987,0.73971,0.00383,0.001505,0.001505,0.001505
52,325.453,1.55218,0.67849,0.00242,0.97471,0.85526,0.91504,0.59528,1.39339,0.53831,0.00309,0.0014951,0.0014951,0.0014951
53,331.267,1.5853,0.71749,0.00243,0.9662,0.84641,0.91366,0.59406,1.43185,0.58465,0.00313,0.0014852,0.0014852,0.0014852
54,338.49,1.56524,0.64559,0.00228,0.98201,0.86184,0.92209,0.60225,1.35939,0.6115,0.00285,0.0014753,0.0014753,0.0014753
55,344.45,1.52469,0.66196,0.00228,0.96806,0.85197,0.91913,0.61107,1.32098,0.5822,0.00277,0.0014654,0.0014654,0.0014654
56,350.404,1.48557,0.61198,0.00221,0.96292,0.85425,0.91407,0.57893,1.43323,0.57217,0.00301,0.0014555,0.0014555,0.0014555
57,359.42,1.50139,0.62425,0.00222,0.97401,0.82895,0.91985,0.59794,1.39914,0.60474,0.00299,0.0014456,0.0014456,0.0014456
58,365.249,1.52485,0.65806,0.00236,0.95337,0.85526,0.92248,0.57091,1.48781,0.56649,0.00318,0.0014357,0.0014357,0.0014357
59,371.047,1.50698,0.61948,0.00224,0.9499,0.87315,0.92394,0.56488,1.49707,0.65,0.00315,0.0014258,0.0014258,0.0014258
60,376.855,1.538,0.65108,0.00236,0.97921,0.86184,0.92244,0.58504,1.42328,0.55239,0.00305,0.0014159,0.0014159,0.0014159
61,382.649,1.49831,0.64538,0.0023,0.92801,0.85197,0.9111,0.56839,1.43325,0.73692,0.00307,0.001406,0.001406,0.001406
