epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
180,1118.4,1.19752,0.42251,0.0017,0.98448,0.89474,0.94605,0.63639,1.33419,0.4596,0.00272,0.0002279,0.0002279,0.0002279
181,1124.21,1.24753,0.48294,0.00168,0.98459,0.89474,0.94667,0.65354,1.22438,0.4375,0.00245,0.000218,0.000218,0.000218
182,1130.03,1.32994,0.54446,0.0019,0.97878,0.90132,0.94932,0.66293,1.19857,0.44111,0.00242,0.0002081,0.0002081,0.0002081
183,1138.5,1.25579,0.48911,0.0018,0.98225,0.89803,0.94954,0.65134,1.28667,0.45105,0.00259,0.0001982,0.0001982,0.0001982
184,1144.3,1.15008,0.42374,0.00161,0.97761,0.90132,0.94976,0.65259,1.24324,0.43571,0.00251,0.0001883,0.0001883,0.0001883
185,1150.14,1.16563,0.44211,0.00168,0.97504,0.89953,0.94935,0.65565,1.23856,0.43322,0.00248,0.0001784,0.0001784,0.0001784
186,1157.32,1.20145,0.47549,0.00185,0.97689,0.89474,0.94894,0.64712,1.29771,0.4364,0.0026,0.0001685,0.0001685,0.0001685
187,1163.11,1.20185,0.445,0.00174,0.97871,0.89145,0.94907,0.64628,1.27408,0.4261,0.00255,0.0001586,0.0001586,0.0001586
188,1168.92,1.19326,0.43593,0.00166,0.98194,0.89416,0.94633,0.65308,1.21242,0.42323,0.00243,0.0001487,0.0001487,0.0001487
189,1177.53,1.16217,0.44437,0.0017,0.98194,0.89416,0.94674,0.65445,1.23717,0.42945,0.00247,0.0001388,0.0001388,0.0001388
190,1183.34,1.185,0.43537,0.00165,0.97811,0.89474,0.9468,0.65153,1.26946,0.43001,0.00253,0.0001289,0.0001289,0.0001289
191,1191.7,1.0849,0.43,0.00177,0.98243,0.88816,0.9477,0.64634,1.28072,0.4271,0.00258,0.000119,0.000119,0.000119
192,1197.37,1.03978,0.36461,0.00162,0.97152,0.89769,0.95258,0.64321,1.28338,0.43229,0.0026,0.0001091,0.0001091,0.0001091
193,1203.03,1.01551,0.35976,0.00163,0.96823,0.90213,0.94816,0.64728,1.24847,0.44345,0.00252,9.92e-05,9.92e-05,9.92e-05
194,1208.65,1.08277,0.36501,0.00177,0.96845,0.90861,0.9535,0.65261,1.23802,0.44065,0.0025,8.93e-05,8.93e-05,8.93e-05
195,1214.31,1.02015,0.34391,0.00163,0.96835,0.90577,0.95262,0.65034,1.25972,0.4388,0.00254,7.94e-05,7.94e-05,7.94e-05
196,1222.94,1.05913,0.40628,0.00172,0.96796,0.90789,0.95217,0.64801,1.26543,0.43707,0.00255,6.95e-05,6.95e-05,6.95e-05
197,1228.57,1.0227,0.33506,0.00166,0.97187,0.90931,0.95316,0.64502,1.26624,0.43276,0.00255,5.96e-05,5.96e-05,5.96e-05
198,1234.19,1.0311,0.33508,0.00177,0.9709,0.91118,0.95337,0.64439,1.24969,0.43124,0.00253,4.97e-05,4.97e-05,4.97e-05
199,1239.84,1.01369,0.36304,0.0017,0.97108,0.91118,0.95341,0.64403,1.24484,0.43287,0.00253,3.98e-05,3.98e-05,3.98e-05
200,1245.48,1.10869,0.38952,0.00165,0.97092,0.91118,0.95371,0.64603,1.24262,0.43217,0.00251,2.99e-05,2.99e-05,2.99e-05
