epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,91.2434,1.67461,1.13527,0.96677,0.84742,0.6271,0.69122,0.33587,1.75758,1.58674,1.01212,0.00132868,0.00132868,0.00132868
43,93.3586,1.61741,1.11286,0.98092,0.91601,0.70373,0.75599,0.40619,1.60487,1.47395,0.98359,0.00132043,0.00132043,0.00132043
44,95.4768,1.58774,1.01639,0.95995,0.92084,0.75056,0.82783,0.46437,1.4355,1.43788,0.95714,0.00131218,0.00131218,0.00131218
45,97.4455,1.64785,1.10038,0.93577,0.92084,0.75056,0.82783,0.46437,1.4355,1.43788,0.95714,0.00130393,0.00130393,0.00130393
46,99.6148,1.68569,1.10124,0.96499,0.83006,0.75806,0.79062,0.44242,1.46468,1.34877,0.96804,0.00129568,0.00129568,0.00129568
47,101.777,1.58601,1.01865,0.97268,0.8199,0.77419,0.75248,0.34901,1.81928,1.31173,1.02672,0.00128742,0.00128742,0.00128742
48,104.103,1.78071,1.10763,0.97245,0.85492,0.77419,0.80494,0.32507,1.851,1.25448,1.0256,0.00127917,0.00127917,0.00127917
49,106.01,1.52614,1.01424,0.95277,0.85492,0.77419,0.80494,0.32507,1.851,1.25448,1.0256,0.00127092,0.00127092,0.00127092
50,108.093,1.63804,1.0851,0.97327,0.87741,0.80808,0.83693,0.42399,1.5313,1.18301,0.96567,0.00126267,0.00126267,0.00126267
51,110.215,1.53232,1.03569,0.97173,0.85627,0.82258,0.839,0.44712,1.44198,1.07705,0.95613,0.00125442,0.00125442,0.00125442
52,112.275,1.4963,1.05455,0.94881,0.91121,0.82767,0.8499,0.43335,1.52412,0.99612,0.97879,0.00124617,0.00124617,0.00124617
53,114.366,1.5366,1.01687,0.94675,0.91121,0.82767,0.8499,0.43335,1.52412,0.99612,0.97879,0.00123791,0.00123791,0.00123791
54,116.426,1.5268,0.99873,0.97224,0.88764,0.76461,0.77704,0.36333,1.79505,1.06077,1.0442,0.00122966,0.00122966,0.00122966
55,118.536,1.77644,1.08746,0.9766,0.87775,0.75806,0.77813,0.36394,1.79823,1.0649,1.05103,0.00122141,0.00122141,0.00122141
56,120.72,1.56368,1.03718,0.96458,0.89701,0.80645,0.82992,0.43204,1.46331,0.9664,0.97379,0.00121316,0.00121316,0.00121316
57,122.712,1.61081,1.02104,0.93903,0.89701,0.80645,0.82992,0.43204,1.46331,0.9664,0.97379,0.00120491,0.00120491,0.00120491
58,124.867,1.6015,1.01552,0.96027,0.91452,0.86282,0.89145,0.45914,1.37758,1.00983,0.95436,0.00119666,0.00119666,0.00119666
59,127.044,1.56873,1.01737,0.9518,0.94483,0.82873,0.88981,0.42672,1.52187,1.01196,0.98102,0.0011884,0.0011884,0.0011884
60,129.153,1.48826,0.99624,0.92614,0.79691,0.82276,0.80929,0.37993,1.77016,1.04693,1.02803,0.00118015,0.00118015,0.00118015
61,131.181,1.50425,0.96932,0.96024,0.79691,0.82276,0.80929,0.37993,1.77016,1.04693,1.02803,0.0011719,0.0011719,0.0011719
62,133.306,1.56168,0.98185,0.93401,0.87027,0.75739,0.79727,0.38528,1.71914,1.03606,1.01284,0.00116365,0.00116365,0.00116365
63,135.406,1.52947,0.96535,0.95919,0.8809,0.83508,0.84965,0.44125,1.54315,0.97093,0.97186,0.0011554,0.0011554,0.0011554
64,137.47,1.43028,0.93985,0.94316,0.89079,0.83871,0.86224,0.46783,1.41051,0.92582,0.95098,0.00114715,0.00114715,0.00114715
65,139.469,1.44184,0.88745,0.94857,0.89079,0.83871,0.86224,0.46783,1.41051,0.92582,0.95098,0.00113889,0.00113889,0.00113889
66,141.573,1.58415,0.95982,0.96712,0.9629,0.83728,0.8717,0.44671,1.4809,0.93949,0.97219,0.00113064,0.00113064,0.00113064
67,143.626,1.56084,0.96266,0.96999,0.8492,0.82258,0.82768,0.41093,1.59401,0.98211,0.99196,0.00112239,0.00112239,0.00112239
68,145.651,1.36947,0.89824,0.94083,0.86153,0.83871,0.82062,0.43352,1.53544,0.97251,0.97457,0.00111414,0.00111414,0.00111414
69,147.595,1.58167,0.96859,0.92644,0.86153,0.83871,0.82062,0.43352,1.53544,0.97251,0.97457,0.00110589,0.00110589,0.00110589
70,149.633,1.46447,0.91801,0.95637,0.88371,0.85806,0.8729,0.47114,1.44717,0.90812,0.95568,0.00109764,0.00109764,0.00109764
71,151.668,1.527,0.93911,0.93837,0.89799,0.85198,0.88002,0.49277,1.42519,0.89941,0.95145,0.00108938,0.00108938,0.00108938
72,153.714,1.41477,0.92705,0.95043,0.87915,0.85484,0.85932,0.45351,1.51502,0.89851,0.96442,0.00108113,0.00108113,0.00108113
73,155.655,1.50267,0.95127,0.93213,0.87915,0.85484,0.85932,0.45351,1.51502,0.89851,0.96442,0.00107288,0.00107288,0.00107288
74,157.792,1.4363,0.89584,0.9272,0.84681,0.83871,0.85549,0.47228,1.44453,0.87219,0.95623,0.00106463,0.00106463,0.00106463
75,159.873,1.44769,0.92497,0.94856,0.92606,0.80803,0.85574,0.48347,1.31932,0.8794,0.93401,0.00105638,0.00105638,0.00105638
76,162.071,1.46949,0.92672,0.95304,0.91002,0.82258,0.8354,0.46131,1.40778,0.90037,0.94912,0.00104813,0.00104813,0.00104813
77,164.091,1.4349,0.925,0.94669,0.91002,0.82258,0.8354,0.46131,1.40778,0.90037,0.94912,0.00103987,0.00103987,0.00103987
78,166.123,1.5442,0.92745,0.94342,0.84974,0.82095,0.79018,0.40316,1.58861,0.9527,0.98409,0.00103162,0.00103162,0.00103162
79,168.272,1.49278,0.92353,0.93254,0.84712,0.82258,0.81237,0.42759,1.53101,0.93247,0.9761,0.00102337,0.00102337,0.00102337
80,170.307,1.50225,0.93533,0.94957,0.86911,0.79032,0.81309,0.4757,1.35572,0.89029,0.95051,0.00101512,0.00101512,0.00101512
81,172.203,1.34424,0.82855,0.95008,0.86911,0.79032,0.81309,0.4757,1.35572,0.89029,0.95051,0.00100687,0.00100687,0.00100687
82,174.289,1.45872,0.90713,0.92697,0.84934,0.74194,0.74385,0.428,1.48113,0.92028,0.97349,0.000998616,0.000998616,0.000998616
83,176.334,1.36836,0.88328,0.92889,0.87196,0.76898,0.77231,0.36666,1.71847,1.00143,1.0205,0.000990365,0.000990365,0.000990365
84,178.405,1.36497,0.88507,0.9356,0.87969,0.79032,0.78627,0.36465,1.7269,0.9655,1.02039,0.000982113,0.000982113,0.000982113
85,180.339,1.553,0.95228,0.9436,0.87969,0.79032,0.78627,0.36465,1.7269,0.9655,1.02039,0.000973861,0.000973861,0.000973861
86,182.488,1.53307,0.93433,0.96193,0.88256,0.77419,0.79813,0.44446,1.39813,0.88711,0.94594,0.00096561,0.00096561,0.00096561
87,184.682,1.44987,0.93341,0.94413,0.94326,0.8045,0.84893,0.49977,1.26834,0.87237,0.93447,0.000957358,0.000957358,0.000957358
88,186.876,1.44616,0.87496,0.92488,0.90819,0.79782,0.82558,0.46912,1.30883,0.8763,0.9422,0.000949106,0.000949106,0.000949106
89,188.86,1.39545,0.87236,0.91473,0.90819,0.79782,0.82558,0.46912,1.30883,0.8763,0.9422,0.000940855,0.000940855,0.000940855
90,191.037,1.32613,0.87875,0.93366,0.90954,0.80645,0.84269,0.47748,1.30128,0.87349,0.93742,0.000932603,0.000932603,0.000932603
91,193.205,1.39983,0.82917,0.93619,0.94428,0.82007,0.8465,0.50444,1.2636,0.85935,0.92366,0.000924352,0.000924352,0.000924352
92,195.428,1.44715,0.86053,0.9297,0.92773,0.82258,0.84526,0.51228,1.27541,0.83551,0.91802,0.0009161,0.0009161,0.0009161
93,197.456,1.35043,0.86016,0.93177,0.92773,0.82258,0.84526,0.51228,1.27541,0.83551,0.91802,0.000907848,0.000907848,0.000907848
94,199.652,1.41516,0.85585,0.93083,0.93694,0.80645,0.84802,0.50389,1.3059,0.84392,0.92703,0.000899597,0.000899597,0.000899597
95,201.762,1.43416,0.85536,0.92481,0.91903,0.79032,0.82743,0.49346,1.32367,0.84306,0.93126,0.000891345,0.000891345,0.000891345
96,203.92,1.29614,0.80296,0.91373,0.93935,0.80645,0.84322,0.49963,1.31617,0.8329,0.92855,0.000883093,0.000883093,0.000883093
97,205.971,1.2898,0.81319,0.9023,0.93935,0.80645,0.84322,0.49963,1.31617,0.8329,0.92855,0.000874842,0.000874842,0.000874842
98,208.12,1.37391,0.86105,0.91385,0.94475,0.83871,0.85982,0.52403,1.30714,0.8343,0.92383,0.00086659,0.00086659,0.00086659
99,210.353,1.36439,0.8322,0.90784,0.94896,0.83871,0.88412,0.51186,1.30695,0.84116,0.91637,0.000858338,0.000858338,0.000858338
100,212.499,1.4284,0.87703,0.93046,0.96189,0.82258,0.87872,0.5039,1.30401,0.85071,0.91637,0.000850087,0.000850087,0.000850087
101,214.471,1.35223,0.82366,0.92079,0.96189,0.82258,0.87872,0.5039,1.30401,0.85071,0.91637,0.000841835,0.000841835,0.000841835
102,216.681,1.34656,0.83203,0.91422,0.90579,0.83871,0.86853,0.49497,1.29986,0.83504,0.92593,0.000833583,0.000833583,0.000833583
103,218.774,1.43743,0.86674,0.91541,0.92825,0.83469,0.86855,0.47344,1.31962,0.84091,0.93554,0.000825332,0.000825332,0.000825332
104,220.99,1.45484,0.8658,0.93662,0.92801,0.8317,0.86898,0.48676,1.33528,0.86612,0.93911,0.00081708,0.00081708,0.00081708
105,223.052,1.35516,0.79677,0.9172,0.92801,0.8317,0.86898,0.48676,1.33528,0.86612,0.93911,0.000808828,0.000808828,0.000808828
106,225.315,1.28309,0.78233,0.89059,0.90928,0.82258,0.86198,0.49617,1.32106,0.83905,0.92918,0.000800577,0.000800577,0.000800577
107,227.514,1.40282,0.83837,0.9229,0.86661,0.8871,0.87139,0.49778,1.30656,0.80306,0.92993,0.000792325,0.000792325,0.000792325
108,229.607,1.37777,0.80782,0.90438,0.91665,0.88696,0.88652,0.50336,1.28093,0.7895,0.92685,0.000784073,0.000784073,0.000784073
109,231.614,1.33894,0.80123,0.91501,0.91665,0.88696,0.88652,0.50336,1.28093,0.7895,0.92685,0.000775822,0.000775822,0.000775822
110,233.849,1.36324,0.80723,0.93079,0.89709,0.8871,0.87964,0.50168,1.32446,0.80664,0.93838,0.00076757,0.00076757,0.00076757
111,236.164,1.48705,0.84737,0.90126,0.94573,0.8871,0.89397,0.49879,1.3312,0.80628,0.94151,0.000759318,0.000759318,0.000759318
112,238.234,1.34066,0.83868,0.9209,0.9448,0.8871,0.89683,0.49536,1.32436,0.79576,0.93666,0.000751067,0.000751067,0.000751067
113,240.297,1.2819,0.75307,0.90559,0.9448,0.8871,0.89683,0.49536,1.32436,0.79576,0.93666,0.000742815,0.000742815,0.000742815
114,242.475,1.31764,0.79182,0.89964,0.91415,0.8871,0.89712,0.49771,1.28963,0.78092,0.92435,0.000734564,0.000734564,0.000734564
115,244.665,1.32038,0.78786,0.91209,0.9293,0.8871,0.89909,0.50343,1.28113,0.77098,0.91966,0.000726312,0.000726312,0.000726312
116,246.846,1.35986,0.81265,0.90029,0.90408,0.87097,0.86464,0.48155,1.32081,0.78637,0.92968,0.00071806,0.00071806,0.00071806
117,248.877,1.32953,0.80822,0.90595,0.90408,0.87097,0.86464,0.48155,1.32081,0.78637,0.92968,0.000709809,0.000709809,0.000709809
118,251.064,1.41673,0.84094,0.93778,0.88729,0.82258,0.79746,0.45551,1.36821,0.81057,0.94241,0.000701557,0.000701557,0.000701557
119,253.246,1.31738,0.78037,0.90159,0.90393,0.83871,0.81542,0.46608,1.32893,0.81133,0.93745,0.000693305,0.000693305,0.000693305
120,255.464,1.34794,0.80145,0.89286,0.87989,0.85484,0.8234,0.47381,1.30183,0.8,0.93023,0.000685054,0.000685054,0.000685054
121,257.417,1.39539,0.80007,0.91216,0.87989,0.85484,0.8234,0.47381,1.30183,0.8,0.93023,0.000676802,0.000676802,0.000676802
122,259.612,1.26691,0.79464,0.91032,0.91189,0.85484,0.83467,0.45308,1.38793,0.79373,0.94121,0.00066855,0.00066855,0.00066855
123,261.823,1.413,0.83398,0.90926,0.90034,0.83871,0.83989,0.46369,1.40728,0.78739,0.94005,0.000660299,0.000660299,0.000660299
124,263.97,1.43439,0.83403,0.92399,0.93063,0.8656,0.86919,0.49587,1.31202,0.76253,0.92557,0.000652047,0.000652047,0.000652047
