epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.98652,2.12045,0.14286,0.78571,2.41005,9.09e-06,9.09e-06,9.09e-06
2,12.0435,2.13369,0.14286,0.78571,2.29811,2.67301e-05,2.67301e-05,2.67301e-05
3,12.5585,2.10022,0.14286,0.78571,2.18746,4.36502e-05,4.36502e-05,4.36502e-05
4,13.0871,2.02295,0.21429,0.78571,2.0914,5.98504e-05,5.98504e-05,5.98504e-05
5,13.585,1.94768,0.07143,0.78571,2.00082,7.53306e-05,7.53306e-05,7.53306e-05
6,14.0892,1.8469,0.21429,0.78571,1.92216,9.0091e-05,9.0091e-05,9.0091e-05
7,14.578,1.80598,0.21429,0.78571,1.86592,0.000104131,0.000104131,0.000104131
8,15.1445,1.63837,0.21429,0.78571,1.81806,0.000117452,0.000117452,0.000117452
9,15.6618,1.59098,0.28571,0.85714,1.76284,0.000130052,0.000130052,0.000130052
10,16.1613,1.43426,0.35714,0.85714,1.72423,0.000141933,0.000141933,0.000141933
11,16.6612,1.33203,0.35714,0.85714,1.66955,0.000153094,0.000153094,0.000153094
12,17.1729,1.23045,0.35714,0.85714,1.62478,0.000163535,0.000163535,0.000163535
13,17.7216,1.14433,0.42857,0.92857,1.57519,0.000173255,0.000173255,0.000173255
14,18.2214,1.0414,0.5,0.92857,1.53546,0.000182256,0.000182256,0.000182256
15,18.7873,0.97195,0.5,0.92857,1.48821,0.000190537,0.000190537,0.000190537
16,19.3104,0.87833,0.57143,0.92857,1.42409,0.000198098,0.000198098,0.000198098
17,19.82,0.78729,0.57143,0.92857,1.38156,0.00020494,0.00020494,0.00020494
18,20.3212,0.68795,0.57143,0.92857,1.34697,0.000211061,0.000211061,0.000211061
19,20.8133,0.66134,0.57143,0.92857,1.31544,0.000216462,0.000216462,0.000216462
20,21.3723,0.63521,0.57143,0.92857,1.29007,0.000221143,0.000221143,0.000221143
21,21.9208,0.51226,0.57143,0.92857,1.26908,0.000225105,0.000225105,0.000225105
22,22.433,0.41407,0.5,0.92857,1.23672,0.000228346,0.000228346,0.000228346
23,22.9414,0.43578,0.5,0.92857,1.22655,0.000230868,0.000230868,0.000230868
24,23.427,0.30174,0.5,0.92857,1.20864,0.000232669,0.000232669,0.000232669
25,23.9102,0.46658,0.57143,0.92857,1.19416,0.000233751,0.000233751,0.000233751
26,24.3969,0.27513,0.57143,0.92857,1.19396,0.000234113,0.000234113,0.000234113
27,24.87,0.26288,0.57143,0.92857,1.19729,0.000233755,0.000233755,0.000233755
28,25.3462,0.31947,0.57143,0.92857,1.21632,0.000232677,0.000232677,0.000232677
29,25.829,0.28237,0.57143,1,1.22025,0.000230879,0.000230879,0.000230879
30,26.3038,0.29086,0.57143,1,1.23174,0.000228361,0.000228361,0.000228361
31,26.7773,0.22161,0.57143,1,1.23346,0.000225123,0.000225123,0.000225123
32,27.2536,0.19133,0.57143,1,1.24066,0.000221165,0.000221165,0.000221165
33,27.7389,0.23005,0.57143,1,1.24384,0.000216487,0.000216487,0.000216487
34,28.211,0.16331,0.57143,1,1.22971,0.00021109,0.00021109,0.00021109
35,28.6823,0.25989,0.64286,1,1.19633,0.000204972,0.000204972,0.000204972
36,29.1513,0.17528,0.71429,1,1.16445,0.000198135,0.000198135,0.000198135
37,29.6288,0.1713,0.71429,1,1.15454,0.000190577,0.000190577,0.000190577
38,30.099,0.13561,0.71429,1,1.14272,0.0001823,0.0001823,0.0001823
39,30.5748,0.12176,0.71429,1,1.1231,0.000173303,0.000173303,0.000173303
40,31.0491,0.15251,0.71429,1,1.12145,0.000163585,0.000163585,0.000163585
41,31.5235,0.08773,0.71429,1,1.12459,0.000153148,0.000153148,0.000153148
42,31.9896,0.08055,0.71429,1,1.13723,0.000141991,0.000141991,0.000141991
43,32.4656,0.11902,0.71429,1,1.13215,0.000130114,0.000130114,0.000130114
44,32.9685,0.11237,0.71429,1,1.13531,0.000117517,0.000117517,0.000117517
45,33.4961,0.10734,0.71429,1,1.14317,0.0001042,0.0001042,0.0001042
46,33.9781,0.07353,0.71429,1,1.15564,9.01637e-05,9.01637e-05,9.01637e-05
47,34.4629,0.10726,0.71429,1,1.17295,7.5407e-05,7.5407e-05,7.5407e-05
48,34.9446,0.07564,0.71429,1,1.17566,5.99304e-05,5.99304e-05,5.99304e-05
49,35.4384,0.14641,0.71429,1,1.16971,4.37338e-05,4.37338e-05,4.37338e-05
50,35.9208,0.07361,0.71429,1,1.16579,2.68173e-05,2.68173e-05,2.68173e-05
