epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.0494,2.43089,0.07163,0.39394,3.33659,0.000163194,0.000163194,0.000163194
2,14.3547,1.33398,0.17355,0.427,4.33,0.00032333,0.00032333,0.00032333
3,19.8687,0.78904,0.17355,0.41322,5.03215,0.000476865,0.000476865,0.000476865
4,25.4212,0.58704,0.21763,0.45455,6.09418,0.0004703,0.0004703,0.0004703
5,30.886,0.44545,0.20386,0.41598,6.4189,0.0004604,0.0004604,0.0004604
6,36.3796,0.36212,0.17355,0.42975,6.17306,0.0004505,0.0004505,0.0004505
7,41.8753,0.3353,0.18182,0.41873,7.30693,0.0004406,0.0004406,0.0004406
8,47.451,0.32227,0.1708,0.42424,7.23225,0.0004307,0.0004307,0.0004307
9,52.9649,0.24123,0.19008,0.45455,7.2201,0.0004208,0.0004208,0.0004208
10,58.5537,0.23053,0.18182,0.41322,7.97528,0.0004109,0.0004109,0.0004109
11,64.2605,0.2284,0.2011,0.42424,8.39091,0.000401,0.000401,0.000401
12,69.946,0.21026,0.18182,0.40771,8.65531,0.0003911,0.0003911,0.0003911
13,75.7686,0.16179,0.18457,0.39669,8.71001,0.0003812,0.0003812,0.0003812
14,81.4771,0.14906,0.20386,0.41047,8.78137,0.0003713,0.0003713,0.0003713
15,87.2409,0.12461,0.18182,0.41598,9.47778,0.0003614,0.0003614,0.0003614
16,92.9308,0.12633,0.20386,0.40496,9.18639,0.0003515,0.0003515,0.0003515
17,98.7245,0.10338,0.18457,0.42149,9.17646,0.0003416,0.0003416,0.0003416
18,104.402,0.1018,0.16529,0.41598,9.5391,0.0003317,0.0003317,0.0003317
19,110.134,0.07696,0.18733,0.4022,9.5976,0.0003218,0.0003218,0.0003218
20,115.927,0.07676,0.18457,0.42149,9.2008,0.0003119,0.0003119,0.0003119
21,121.707,0.09757,0.15978,0.41322,9.48797,0.000302,0.000302,0.000302
22,127.586,0.07997,0.18182,0.41322,9.4438,0.0002921,0.0002921,0.0002921
23,133.41,0.06305,0.19284,0.40496,8.79285,0.0002822,0.0002822,0.0002822
24,139.324,0.05371,0.17906,0.40771,9.6878,0.0002723,0.0002723,0.0002723
